id,link,content,start_time,end_time,programme_id,programme_date
"CwzXtm8BCxDtSJLwjTA6","http://www.rtve.es/v/5486409/?t=00h32m20s","El envejecimiento es un factor de riesgo para que perdamos cromosoma y también lo es fumar Además, la contaminación puede agravarlo.",1940,1943,5486409,"2020-01-17T15:00:00+00:00"
"ngzXtm8BCxDtSJLwjzAe","http://www.rtve.es/v/5486409/?t=00h49m45s","Ya entonces Carlos Sainz se convirtió con 55 años en el piloto más longevo en imponerse en el rally más duro del mundo.",2985,2988,5486409,"2020-01-17T15:00:00+00:00"
"7SqMrG8BwjfvbX7BYvXh","http://www.rtve.es/v/5483916/?t=00h39m21s","La mayoría personas mayores como Amada, de 92 años.",2361,2365,5483916,"2020-01-14T21:00:00+00:00"
"8CqMrG8BwjfvbX7BYvX4","http://www.rtve.es/v/5483916/?t=00h39m29s","""Aquí lo que tenemos es una población envejecida, pluripatológica, polimedicada y que requiere supervisión estrecha.""",2369,2373,5483916,"2020-01-14T21:00:00+00:00"
"3hh8iG8Baf3yBvVW9iL3","http://www.rtve.es/v/5479634/?t=00h16m05s","Y lo que es más grave: Sin reformas no vamos a adaptar nuestra economía a los tres grandes retos que tenemos por delante: envejecimiento, la revolución digital y la lucha contra el cambio climático.",965,967,5479634,"2020-01-08T21:00:00+00:00"
"_xhYg28Baf3yBvVW1SGL","http://www.rtve.es/v/5478623/?t=00h46m03s","La atención a las personas mayores y el cuidado de la salud en casa, dice este consultor tecnológico, son un mercado en auge.",2763,2766,5478623,"2020-01-07T15:00:00+00:00"
"hxgKeW8Baf3yBvVWiRfJ","http://www.rtve.es/v/5477716/?t=00h04m11s","Dos personas mayores han muerto y otra se encuentra muy grave tras el incendio producido a las seis de la mañana en una vivienda de Hellín, en Albacete.",251,255,5477716,"2020-01-05T15:00:00+00:00"
"ahiWaW8Baf3yBvVWlhEL","http://www.rtve.es/v/5476433/?t=00h26m52s","Entre ellos, cinco orangutanes y tres gorilas, incluido el más longevo de Europa, que tenía 48 años.",1612,1615,5476433,"2020-01-02T21:00:00+00:00"
"ARhwZG8Baf3yBvVWOgxB","http://www.rtve.es/v/5475808/?t=00h15m44s","Madrid es una de las ciudades con mayor longevidad del mundo, con uno de los mejores de transporte del mismo y cada vez se está utilizando más renovación de caldera y de vehículos.",944,948,5475808,"2020-01-01T21:00:00+00:00"
"qhhwZG8Baf3yBvVWPAxF","http://www.rtve.es/v/5475808/?t=00h34m39s","Y que la tele nunca envejece.",2079,2082,5475808,"2020-01-01T21:00:00+00:00"
"XBhIX28Baf3yBvVW5Arp","http://www.rtve.es/v/5475448/?t=00h29m22s","También aconsejan precaución a las personas mayores.",1762,1765,5475448,"2019-12-31T15:00:00+00:00"
"3RgjWm8Baf3yBvVW3Qg5","http://www.rtve.es/v/5475074/?t=00h33m45s","Entre ellos, muchos niños y personas mayores que las pasan en el hospital y que hoy han recibido una sorpresa.",2025,2029,5475074,"2019-12-30T21:00:00+00:00"
"4hQXNm8B9QO-ETTBsl0f","http://www.rtve.es/v/5471888/?t=00h31m31s","En Corella, en Navarra, estas navidades triunfa la yayacleta, una forma de que las personas mayores con movilidad reducida vuelvan a pasear por su pueblo.",1891,1894,5471888,"2019-12-23T15:00:00+00:00"
"nxTwMG8B9QO-ETTBTVkk","http://www.rtve.es/v/5471434/?t=00h15m03s","Los 13 millones de euros que han caído en esta localidad de casi 7 mil vecinos han tocado sobre todo a personas mayores que participan en un proyecto para prevenir la dependencia.",903,906,5471434,"2019-12-22T21:00:00+00:00"
"AxTJK28B9QO-ETTB5lbc","http://www.rtve.es/v/5470984/?t=00h35m45s","Son datos de la asociación ""Amigos de los Mayores"", que, para ayudar a combatir este aislamiento, organiza comidas de Navidad en todo el país para casi 2000 personas mayores.",2145,2149,5470984,"2019-12-21T15:00:00+00:00"
"BhTJK28B9QO-ETTB5lbm","http://www.rtve.es/v/5470984/?t=00h36m35s","Han celebrado esta comida solidaria en Barcelona, y han hecho ya 21 comidas, y han invitado a 2000 personas mayores.",2195,2199,5470984,"2019-12-21T15:00:00+00:00"
